b12	b3	b4	b5	r12	delta3	delta4	delta5
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.758	0.292	0.223	1.165	0.26	-3.41	2.211	-1.857
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.65	0.231	0.218	1.162	0.52	-3.607	2.169	-2.3
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
0.605	0.217	0.211	1.162	0.667	-3.701	2.125	-2.556
